geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment,geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,latitude,longitude,geom
TAN-000006,2021,EM.3409,5,8,13,180,214,394,TAN-000006,EM.3409,SASI,,TZA,Arusha,Arusha,Bangata,-3.365109643,36.74510779,0101000020E6100000BD052BB15F5F4240271DC19ABEEB0AC0
TAN-000000,2021,EM.1865,3,10,13,248,193,441,TAN-000000,EM.1865,BANGATA,,TZA,Arusha,Arusha,Bangata,-3.338421019,36.74399954,0101000020E6100000FF447E603B5F42406C12471416B50AC0
TAN-000003,2021,EM.4582,2,8,10,247,241,488,TAN-000003,EM.4582,MIDAWE,,TZA,Arusha,Arusha,Bangata,-3.332989554,36.74861731,0101000020E6100000B2D527B1D25F42408EB7626DF6A90AC0
TAN-018512,2021,EM.2699,8,2,10,242,283,525,TAN-018512,EM.2699,PITO,,TZA,,,,-8.929461485,31.63646933,0101000020E6100000CD416DA7EFA23F40E5EE3160E2DB21C0
TAN-000009,2021,EM.4030,4,2,6,193,209,402,TAN-000009,EM.4030,BWAWANI,,TZA,Arusha,Arusha,Bwawani,-3.607894651,36.84478314,0101000020E61000008F419BDA216C4240ABAAEBDEF7DC0CC0
TAN-000012,2021,EM.11343,5,14,19,696,768,1464,TAN-000012,EM.11343,BWAWANI,,TZA,Arusha,Arusha,Bwawani,-3.607894651,36.84478314,0101000020E61000008F419BDA216C4240ABAAEBDEF7DC0CC0
TAN-000015,2021,EM.18772,0,4,4,244,252,496,TAN-000015,EM.18772,BWAWANI,,TZA,Arusha,Arusha,Bwawani,-3.607894651,36.84478314,0101000020E61000008F419BDA216C4240ABAAEBDEF7DC0CC0
TAN-000018,2021,EM.4032,6,3,9,166,178,344,TAN-000018,EM.4032,KIGONGONI,,TZA,Arusha,Arusha,Bwawani,-3.536971065,36.77969169,0101000020E6100000A9C1F2EFCC6342401996587CB74B0CC0
TAN-000021,2021,EM.11082,4,5,9,319,329,648,TAN-000021,EM.11082,LAMOLOKI,,TZA,Arusha,Arusha,Bwawani,-3.58017525,36.8328811,0101000020E61000006FFA0ED99B6A4240C896E5EB32A40CC0
TAN-000024,2021,EM.5790,5,5,10,267,310,577,TAN-000024,EM.5790,MUNGUSHI,,TZA,Arusha,Arusha,Bwawani,-3.529985356,36.83414089,0101000020E61000003667F120C56A424006085BF6683D0CC0
TAN-000027,2021,EM.2012,3,3,6,52,63,115,TAN-000027,EM.2012,OLOKII,,TZA,Arusha,Arusha,Bwawani,-3.589697902,36.81145294,0101000020E610000083C59FB0DD674240E6E09C88B3B70CC0
TAN-000030,2021,EM.13504,7,7,14,59,62,121,TAN-000030,EM.13504,ALBEHIJE,,TZA,Arusha,Arusha,Kiranyi,-3.352888,36.671719,0101000020E6100000098D60E3FA554240F03499F1B6D20AC0
TAN-000033,2021,EM.7602,1,17,18,382,419,801,TAN-000033,EM.7602,ENYUATA,,TZA,Arusha,Arusha,Kiranyi,-3.352888,36.671719,0101000020E6100000098D60E3FA554240F03499F1B6D20AC0
TAN-000036,2021,EM.10716,1,15,16,343,378,721,TAN-000036,EM.10716,ILKIUREI,,TZA,Arusha,Arusha,Kiranyi,-3.354763761,36.67412596,0101000020E6100000D4CA6BC2495642405E68FA618ED60AC0
TAN-000039,2021,EM.13029,2,16,18,327,235,562,TAN-000039,EM.13029,KIRANYI,,TZA,Arusha,Arusha,Kiranyi,-3.352888,36.671719,0101000020E6100000098D60E3FA554240F03499F1B6D20AC0
