school_name,school_id,all_subjects,latitude,longitude
Abelardo G. Tinio ES,107022,105.3,15.14341231,120.6181718
Angeles ES,107023,137.05,15.13434602,120.5957108
Belen Homesite ES,107024,142.39,15.14086258,120.6001418
Cutud ES,107025,166.03,15.171331,120.627026
Don Ambrosio Mendiola ES,107026,152.81,15.14166667,120.6269444
Dr. Clemente N. Dayrit Sr. ES,107027,132.51,15.1427165,120.5949958
Enrica Sandico ES,107028,172.25,15.15703949,120.6124109
EPZA Resettlement ES,107029,133.93,15.16946769,120.615992
Mining ES,107030,164.61,15.14025757,120.6084338
Pandan ES,107031,157.7,15.15032495,120.6055109
Pineda Gutierrez ES,107032,93.14,15.1507868,120.6161479
Pulung Cacutud ES,107033,126.7,15.16259911,120.6175989
Pulungbulu ES,107034,132.76,15.13527295,120.5964888
Salapungan ES,107035,96.87,15.14651123,120.5997628
Sapalibutad ES,107037,82.36,15.15722539,120.6267759
Alberto G. Pabalan ES,107038,122.36,15.159049,120.56213
Edilberto M. Ganzon ES,107040,135.97,15.15381704,120.5567619
Gueco Balibago ES,107041,120.12,15.16757092,120.597937
Marisol Bliss ES,107043,124.77,15.1507134,120.6020631
Sapangbato ES,107044,158.99,15.1667705,120.513796
Sitio Target ES,107045,136.36,15.1690339,120.5129555
Sitio Pader ES,107046,130.68,15.15847348,120.5992549
Sta. Maria ES,107047,147.97,15.1647871,120.5845762
Sta. Teresita ES,107048,168.45,15.1496374,120.5854674
Tacondo ES,107049,171.18,15.171372,120.537894
Teodoro P. Tinio ES,107050,110.01,15.15354084,120.5920439
Virgen delos Remedios ES,107051,115.66,15.14944444,120.5925
Apung Guidang Nepomuceno ES,107052,164.86,15.1388736,120.5680988
Cuayan ES,107053,132.17,15.14599158,120.5500728
Cutcut ES,107054,97.85,15.13033836,120.5807757
Leoncia Village ES,107056,160.48,15.11472222,120.5922222
Lourdes Norhtwest ES,107057,139.04,15.14381948,120.5861518
M. Nepomuceno ES,107058,113.57,15.13689794,120.5832868
Pampang ES,107059,158.45,15.14493547,120.5768378
Sto. Rosario ES,107061,155.89,15.13579195,120.5917408
Airforce City ES,161001,100.76,15.190554,120.527959
A.V. Mijares ES,104408,154.98,15.76694444,121.5583333
Calabuanan ES,104410,156.46,15.74777778,121.5097222
Carmen T. Valenzuela ES,104411,133.35,15.7525,121.5766667
Diego Ortiz ES,104412,141.75,15.74194444,121.5569444
Ruperto P. Zubia Sr. ES,104416,149.28,15.76,121.5675
Setan ES,104417,138.36,15.7561,121.5452
Suklayin ES,104418,141.78,15.75555556,121.5488889
Bianoan ES,104420,84.87,16.2312,122.0244
Calabgan - Ditinagyan ES,104421,111.09,16.186154,122.029787
Calantas ES,104422,145.76,16.3034,122.1111
Dibacong ES,104424,149.33,16.2433,122.0626
Dibet ES,104425,102.16,16.215,122.0611111
Dumaguipo ES,104426,150.43,16.17305556,122.095
Francisco Benitez ES,104427,130.46,16.25,122.1391667
M. Esteves ES,104428,89.0,16.190634,122.05632
San Ildefonso ES,104429,87.26,16.12833333,122.0586111
Tinib - Calangcuasan ES,104430,166.71,16.27055556,122.1005556
Camilo Osias ES,104431,164.29,16.3428,122.1772
Diagyan ES,104432,134.13,16.447903,122.19898
Dicabasan ES,104433,133.5,16.421,122.1919
Dilaguidi ES,104434,166.59,16.436048,122.195114
